S.No,Commentor name,Comment,Dislike,Insulting,Neutral,Supporting,Meaningless, Class
243,Remi Lloyd,"Just tell me we&#39;re getting out of NATO(which was meant to disband in 1991). That&#39;ll save the UK tax payer Â£50 billion a year, because America insist we spend Â£70 billion a year on our war machine(2% of our GDP) for being a NATO member.<br>But Sunak won&#39;t, because he&#39;s beholden to the military industrial complex and US hegemony.<br>Corporately own politicians, like Sunak will never get my vote, because they&#39;re bought to work against us.",,1,,,,0
244,Bartosz Rudnicki,Scottish independence,,,1,,,1
245,My Allotment Dave Bell,Totally bored by Sunaks lies and untruths,,1,,,,0
246,Daniel Bb,"I he donâ€™t care about our own country problems, he say all this but never will do anything about it , donâ€™t believe what he say all lies , only care about help other countries and own money on there pocket how much money there can safe , what programs has he done , havenâ€™t done any for the people or military or NHS he only help Pakistan and Ukrainian, give our money to France",,1,,,,0
247,Ian Mccrone,And her 750 m,,,,,1,1
248,John Hamilton,We know all these plans are not the govts but that of the WEF! NHS and Royal mail going to be bankrupted by 2030 by their agendas handily when the WEFS 2030 agenda kicks in!,,1,,,,0
249,itsde2023,"I thought he did brilliant in his speech and in true Conservative fashion, delivered it with passion and inspiration. Itâ€™s great to see the education reforms as I know I always struggled with Maths so perhaps more support at that time would have helped vastly. As a long term voter and supporter, this reminds me why I do support them and why Iâ€™ll be voting Conservative again in the next election! Well done Rishi! â¤ðŸ˜Š",,,,1,,1
250,Alan Godfrey,"How long did it take him to come up with this load of bull.... lies ? Its like watching another version of Tony Blair ! Absolutely clueless to the reality of this country and what people and businesses are actually going through daily !! He has all this time to come up with plans but he needs to go away and sort this out in the coming months (8.22) lol. All these lot do is buy time, over and over again instead of sorting crap out like normal everyday businesses have to do daily, weekly and monthly !! Sick and tired of waiting for the right person to actually lead this country with honesty, desire and passion to put the Great back into Britain !! These new centres he bangs on about, who is going to work there ?? They cannot get any staff now so where are all of these trained medical people going to come from ??",,1,,,,0
251,Martin Brettell,Every mp in the country don&#39;t do what they say just to get into parliament don&#39;t believe what any mp say anymore !!!!!!!!,,1,,,,0
252,Alan Godfrey,"How long did it take him to come up with this load of bull.... lies ? Its like watching another version of Tony Blair ! Absolutely clueless to the reality of this country and what people and businesses are actually going through daily !! He has all this time to come up with plans but he needs to go away and sort this out in the coming months (8.22) lol. All these lot do is buy time, over and over again instead of sorting crap out like normal everyday businesses have to do daily, weekly and monthly !! Sick and tired of waiting for the right person to actually lead this country with honesty, desire and passion to put the Great back into Britain !! These new centres he bangs on about, who is going to work there ?? They cannot get any staff now so where are all of these trained medical people going to come from ??",,1,,,,0
253,Martin Brettell,Every mp in the country don&#39;t do what they say just to get into parliament don&#39;t believe what any mp say anymore !!!!!!!!,,1,,,,0
254,Dal McCormick,Bore me later,1,,,,,0
255,Mala,What about people with dyscalculia like my daughter???,,,,,1,1
256,cally kuang,"That an room full of journalists allowed the PM to get away with this is an indictment of UK media,  highlighted the failures of the BBC and the rest of the UK&#39;s mainstream media.<br>The people who got the questions to ask were pre selected that&#39;s not right.",,,,,1,1
257,None,&quot;JAM TOMORROW!&quot;,,,,,1,1
258,Csncarlos555 Can,Laaaaaa laaaaaa laaaaaaa laaaaaa,,,,,1,1
259,Ryan,Another pervert.,1,,,,,1
260,Andy W,He has not said HOW he will achieve any of this!!! He needs to go. And moreover a general election be called.,,,1,,,1
261,Lari Bello,"In order to boost &#39;innovations&#39; he needs to fund universities fees and students&#39; maintenance loans. Many bright students simply cannot afford higher education. <br>On the other hand, forcing some students to do maths post GCSE will be a torture for both students and teachers.",1,,,,,0
262,Ausee P,Math until The age of 18 is good ðŸ‘ðŸ»,,,,,1,1
263,Kevin Castelino,Changing mindset among the younger generation is possible and the other impossible.,,,,1,,1
264,jebby jumbuck,"@Ausee P nope, I earn 60k with 1 GCSE - life skills are preferred by my employer",,,,,1,1
265,B K,What a idiot resign and call a genral election,,1,,,,0
266,niblet112,"Whatâ€™s the point? What will an election achieve? There all as corrupt as each other and the uk is already screwed, beyond  saving. Lockdowns and sanctions made sure if that.",,1,,,,0
267,Daniel12 verse3,"Total liar, even the tone of his voice tells me he&#39;s out to destroy the UK like the WEF globalist he is",,1,,,,0
268,Daniel12 verse3,"<a href=""https://www.youtube.com/watch?v=JJsVAunbFn8"">https://www.youtube.com/watch?v=JJsVAunbFn8</a>",,,,,1,1
269,Alex Camron,"Time someone put a bomb under parliament, so we can start afresh. They&#39;re all in it together whatever party they purport to be.",,,,1,,1
270,niblet112,200% agree. Bring down the corrupt system and start again.,,,1,,,1
271,Andy J,"A defining silence from Sunak as our NHS was creaking over the xmas period.  Not to be seen, nor heard as he hid away in his mansion.  Then low and behold, a response from the poisoned dwarf when there were commitments to make in regards to Ukraine, yet again giving millions or perhaps billions to another country whilst our own country slides deeper into the abyss.  A commitment around education and Maths, while schools struggle to operate in their current circumstances and teachers leave the profession in droves.  This man has no concept of the reality of the rest of us d**kheads who are being absolutely brutally raped by taxes, NI contributions and then more stealth taxes and of course the energy companies with their +360% profit gains, all whilst we get our backsides slapped.  Despite their ongoing mass media manipulation, let us not forget about what this party of clowns did to our nation during the pandemic.  Never, ever forget that him and his chums effectively murdered thousands of people with their inept decision making whilst looking our for their pals with lucrative contracts.  Thieves the lot of them, and for the record Starmer is an absolute tory in a labour suit too.  The Britain i served queen and country for, is now, no better than a third world country.",,,1,,,1
272,Joe Cortese,Lets playyyy bullllshit BINGO!,,1,,,,0
273,Marco Kleyn,"I thought Jacinda Ardern lived in an alternate reality-but this guy really takes the cake.Joseph Goebbels was an amateur compared to this guy.I,ve seen less excrement spouting out of a broken sewer pipe than this guys mouth.",1,,,,,0
274,Ladynipchick2,"Nice enough chap, harmless really, just one slight problem - he&#39;s our prime Minister. Why do I always think &#39;school Prefect&#39; when I hear him speak. He sounds as if he&#39;s giving his leaving speech at his last ever school assembly.",1,,,,,0
275,MindfulLife85,I think he has an excellent speaking skills. ðŸ˜Šâ¤,,,,1,,1
276,John Keller,He&#39;s no different than the politicians here in the US,,,1,,,1
277,git FOAD,"Had his green card ready to go too. Git&#39;s a chancer. Begone with him, forthwith.",1,,,,,0
278,Goat boy,Yep just another lying WEF traitor.,1,,,,,0
279,Diabe Diabira,He always says his dad worked for the NHS.When the NHS will do a strike his father will do it against his own sonðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚.<br>The worst PM of the world.Even his father strike against him.,,1,,,,0
280,Juliet Tun Channel,Manhattan has invaders from Perris California and New Orleans. Manhattan citizens move up state New York,,,,,1,1
281,Juliet Tun Channel,Manhattan should have storm like sandy or snow storm.  Rishi help me make it,,,,,1,1
282,Bert Smith,"If he wants my vote, the channel invasion had better stop really quickly, and those who have invaded need to be sent back. Every last one of them.",,1,,,,0
283,T-zero,"Good voice for a Disney movie, nothing more to see here",,,,,1,1
284,Phil Goddard,Great vision of the future. <br>Can someone tell Rishi that the Tories have been in government for 12 years and have run the country into the ground with their previous promises.,,,,1,,1
285,Ian Oliver,"These days I am sad to say as a lifelong Tory supporter, to witness over the last five or so years, the worst Tory government ever! Oh to go back to the Thatcher years!!",,1,,,,0
286,Phil Goddard,Sounds like he intends to &#39;build back better&#39;! <br>We&#39;ll own nothing and be happy!,,1,,,,0
287,George,This guy sounds like heâ€™s rehearsing for a school play,1,,,,,0
288,Adrian Choinski,"I wonder, if he already said ALL that to the bathroom mirror. <br>This people stand up and stand clapping like after 9h trilogy of Lord of the Rings.",1,,,,,0
289,Wolfie Smith,What a lying gimp ðŸ˜ðŸ˜‚ðŸ˜‚,1,,,,,0
290,MindfulMoo,Sounds like heâ€™s ad-libbing a bedtime story to 6 years olds,,1,,,,0
291,Ramesh Kumar G,Obviously he aims to make the whole population understand hi plans including six year-olds,,1,,,,0
292,Michael Allan,Go <b>**</b> yourself.,,,,,1,1
293,Philip Withey,I get it tory policys lead to hyper inflation .then he asks for credit to half it .all the while dismantling human rights .,,1,,,,0
294,Steavy Bea,I like him but every time he makes a speech itâ€™s like heâ€™s acting in a panto,,,1,,,1
295,Agentcookie,Skipping through this. Loads of bloatware,,,,,1,1
296,Willie-Whistleblower,Remember the famous Rope Trick? Is it making a comeback?,,,,,1,1
297,madebyme,Can someone translate the speech from parallel universe to Earthian?,,,,,1,1
298,Kim Stevens,Proper word salad without actually saying anything,,,,,1,1
299,madebyme,@Kim Stevens innovative ðŸ™‚,,,,,1,1
300,Mick apeman,We dont want his plans we want him gone with the rest of the corrupt mob bring on Nuremberg 2,,,,,1,1
301,D4VE,Another JOKER. Where&#39;s truss and quazi modo? Hiding. Should be in prison,,1,,,,0
302,oeilgris,like the education bit. It would be relevant to introduce more programming and IT in early years and all through education.,,,1,,,1
303,Michael Hock,France doesn&#39;t want migrants.thats why they are letting them cross so just send the buggers back,,1,,,,0
304,Winnie Pooh,What a joke!,1,,,,,0
305,Alison Smith,Ah the optimism of a Billionaireâ€¦â€¦â€¦â€¦â€¦.,1,,,,,0
306,bro killy killy,"We now have a new word for more Austerity- protecting inflation, growing the economy: <br>However it&#39;s another way of protecting the Rich, only the poor suffer in Austerity  measures.<br>Elections will determine if we are truly aware of the impact of Austerity hardship",1,,,,,0
307,itsde2023,"But austerity is good for the economy as it resets public spending and reduces debt, so in the long term it vastly helps boost growth and helps people keep more of their hard earned cash.",,,1,,,1
308,roma jones,"â€‹@itsde2023 austerity should start with those with more money not with the poor. In this speech has he talles about tax heavens, and the many ways rich stop paying tax? To reduce debt It Will necessarily mean to spend leas on education and health.  Altogether he is a liar Who Will sell nothing and delivery nothing. If he wants to reduce debt he should tackle those channel islands and the loop holes to avoid tax.",,,1,,,1
309,itsde2023,"@roma jones it shouldnâ€™t start with those with more money as we shouldnâ€™t penalise those who have money as they will upsticks and move to places where they arenâ€™t taxed to death, which will result in fewer jobs, less growth and less revenue. Austerity in my view should be spread equally as it is currently. But of course this is just my opinion and not intended in any way to offend anyone x",,,1,,,1
310,Lena Wagenfuehr,Please stop calling it &quot;austerity&quot; - say what it really is : hypocrisy!,1,,,,,0
311,Margaret Wilson,"For what it&#39;s worth, he&#39;s a decent orator. PM Sunak lacks some of the charisma / natural connectivity ex-PM Johnson did. However, if PM Sunak doesn&#39;t break rules left and right, he has my respect more than Johnson did. Ah. I forgot about ex-PM Truss. Hm. Well, Sunak is doing better than her, as well haha",1,,,,,0
312,Ladynipchick2,But he&#39;s soooo boring...,1,,,,,0
313,Be Real,He is a terrible orator. .. wooden and a liar,1,,,,,0
314,Margaret Wilson,@Ladynipchick2 I&#39;ll take boring over parties during lockdown. :/ And over the UK economy imploding.,,1,,,,0
315,Margaret Wilson,"@Be Real Everyone is welcome to their opinion. I don&#39;t think he&#39;s great, just decent... Yeah, people aren&#39;t a fan of him, but I personally dislike Truss&#39;s cadence a lot more.",1,,,,,0
316,Be Real,@Margaret Wilson I&#39;m not interested in their oration or cadence I&#39;m interested in their coverup and lies. It&#39;s not a personality contest,1,,,,,0
317,Darg Corleone,Ok Rishi. ðŸ™„,1,,,,,0
318,Dark in heart,Iâ€™m waiting for the revolt against our government,,1,,,,0
319,bro killy killy,"I am surprised that the Prime Minister was unaware that his plan was all beyond his control. So, he has set his alibi when they are not achieved.",1,,,,,0
320,Jean Lind,Iâ€™m not sure why heâ€™s proud of his record on Covid? We were judged worst reaction to Covid in Europe!!,,,,,1,1
321,London Lee,I wouldn&#39;t watch it if they paid me too.<br><br>I never voted for this unelected PM,1,,,,,0
322,A&P,3 of the 5 promise start the printing machine Â£Â£Â£Â£Â£Â£Â£Â£Â£Â£,,,,,1,1
323,Oldtimer,why do we get one liar as MP after another?<br>nun is been elected,,1,,,,0
324,LogicPak,"a lot of negative comments here, give him a chance at least.",1,,,,,0
325,Thomas M,"If we all take maths to A-level standard, the resultant numerate population will understand just how broke their government is, and cognizant of the futility of striking for higher pay will just plod on quietly and compliantly. Considerably easing the task of governing them.",1,,,,,0
326,John Roberts,"Government is broke because we keep giving money to the rest of the world, we come first us BRITISH, the a$$hole couldnâ€™t deliver a letter yet this new load of bull ðŸ’©. REVOLUTION is coming",,1,,,,0
327,Jayon Brown,The strikers need to just get on with it and stop having days off they chose those jobs in the first place,,1,,,,0
328,Bob Jary,"That level of knowledge would be great , but a curriculum that blindly insists each and every young person is confined to the classroom until they&#39;re 18 doing &#39;sums&#39; will have a terrible effect on thoae of us who might be innumerate but could have been in gainful employment since 16",,,,1,,1
329,d coughla,"If we all take maths to A level standard, we may realise where our pay is going, how we can make our money stretch further &amp; where we should invest our money so it works when we donâ€™t.  Instead of spending money on crap &amp; keeping any spare money in a zero per cent interest account.",,,,,1,1
330,Jayon Brown,@d coughla I work in a bar in a working class area and it&#39;s terrible seeing them all spend Â£40-50 a night on drinks. If Rishi had us all doing maths until 18 hopefully people will budget better,,,1,,,1
331,d coughla,"@Jayon Brown OMG!  Similar except betting shops are a problem.  Recently, I picked up someoneâ€™s gambling slip dropped in my road for a Â£380 stake!  Where do they get the money from?",1,,,,,0
332,Jayon Brown,@d coughla its just overly generous benefits. It&#39;s no wonder they can&#39;t get anyone out to work at my local corner shop,,,,,1,1
333,Jean Lind,"Rushi on the planet Sunak! Twelve years of Tory rule &amp; 500 people per week dying after waiting in A &amp; E, many elderly on the floor waiting up to 40 hours. Immigrants in Hilton Hotels whilst people are being made homeless by massive increase in rents. I could write an essay but instead just that heâ€™s now trying to warm us up before a general election is forced upon him!!!!",,,,,1,1
334,Daniel Warton,He could just read the great reset by Klauss Schwab and that would be where heâ€™s intending us to go,1,,,,,0
335,Daniel12 verse3,1000% correct Daniel,1,,,,,0
336,niblet112,Heâ€™s already spoke about CBDCs,,,1,,,1
337,Teddy Lee,Was there anything in the great reset about decreasing the surplus population ? Bah humbug to these billionaires .,1,,,,,0
338,Kepler Mission,Thank goodness there are no more crummy coal miners to strike.,,,,1,,1
339,Mad Jack The Hatter,RIOT RIOT RIOT!!!! I&#39;m sick of all these lies WORDS MEAN NOTHING,,,,,1,1
340,DR. HARAN Sivasambu,Nothing surprised me all the negative jealousy comments large percentage people in the country cannot do maths numerous <br>Prime minister only in the office 2 months he need to deal with the humongous problem before everyone created <br>Give him a chance to fix no one will able to do it,,,,,1,1
341,Michal B.,Was there a moment he tried to rap?ðŸ˜‚,,1,,,,0
342,Sue Wright,puppet....,,1,,,,0
343,Duoduo,Really?,,,,,1,1
344,John Clausen,This man is not worrying me. He is a pathetic liar and he will never deliver anything for the normal people. I am sure he bought a new luxuary fridge.,,1,,,,0
345,William Emma,"Despite the economic downturn,I&#39;m so happyâ˜ºï¸, I have been earning $23,000 returns from my $7,000 investment every 13days.",,,1,,,1
346,Cormac Finlay,"My life is totally changed because I&#39;ve been earning $15,250 returns from my $4,000 investment with Elliot Benjamin",,,1,,,1
347,Nicole Carla,"Same  here, i will praise Elliot over and over again because he has great skills, i started with $2000 and after 2week i received a returns of $6,000 then i continue with him ever since he has been delivering.",,,,1,,1
348,Fortune Cookie,"I heard a lot of investing with Elliot Benjamin and how good he is, please how safe are the profit?",,,,1,,1
349,Mingus Mungo,"I traded with Elliot, The profit are secured and over a 100% return on investment directly sent to your wallet.",,,,1,,1
350,Stefano Varasso,"After watching so many YouTube tutorial videos about trading I was still making losses untill Elliot Benjamin started managing my investment now, I make $6,800 weekly. God bless Elliot. He has been a blessing to my family.",,,,1,,1
351,Nicole Carla,He&#39;s on what&#39;s Apk ðŸ‘‡ðŸ‘‡.,,,,,1,1
352,Nicole Carla,Ð¿Ñ‡ÐµÐ»ÐµÐ½ Ð¼ÐµÐ´<br><br>ï¼‹ðŸ­ðŸ²ðŸ­ðŸ±ðŸ®ðŸ­ðŸ®ðŸµðŸ´ðŸ­ðŸ­<br>                             <br><br>Ð¿Ñ‡ÐµÐ»ÐµÐ½ Ð¼ÐµÐ´ðŸ‘ðŸ‘Ž,,,,,1,1
353,David Geoff,"Wow, i&#39;ve seen a lot of recommendation about Elliot is he really that good.",,,,,1,1
354,Maxwell Macaulay,"Yes, Elliot is the best. He is the only one I can leave my investment with and think less about it, he is my money maker.  I just received $13,000 of my investment last month.  I am very happy because he is leading me to financial freedom",,,,,1,1
355,Pinned_by David nino Rodriquez,"I&#39;m glad to see Elliot mentioned here, my spouse recommended him to Me after investing $4000 and he has really helped us financially in times of COVID -19 lockdown here in Australia ðŸ‡¦ðŸ‡º",,,,,1,1
356,Danilo Adalberto,"I am from Denver Colorado USA I connected with him and he has helped me a lot, he makes so much profit for me. he made success earlier than we thought.",,,,,1,1
357,Temple Andrew,"I&#39;m in a long term trader with him I only withdraw every 6 months and I&#39;ve made about $90,230 since last year November it&#39;s okay for me he&#39;s a good man to work with",,,,,1,1
358,Alexa Abigail,First time I met him was about 3 years ago in a conference meeting in London he&#39;s smart and intelligent,,,,1,,1
359,Fergus Douglas,How can I work with him I&#39;ve lost so much in the market ðŸ˜­ðŸ¤¦,1,,,,,0
360,Maxwell Macaulay,He&#39;s on what&#39;s Apk ðŸ‘‡ðŸ‘‡.,,,,,1,1
361,Maxwell Macaulay,Ð¿Ñ‡ÐµÐ»ÐµÐ½ Ð¼ÐµÐ´<br><br>ï¼‹ðŸ­ðŸ²ðŸ­ðŸ±ðŸ®ðŸ­ðŸ®ðŸµðŸ´ðŸ­ðŸ­<br>                             <br><br>Ð¿Ñ‡ÐµÐ»ÐµÐ½ Ð¼ÐµÐ´ðŸ‘ðŸ‘Ž,,,,,1,1
362,Jayon Brown,Yeah same Elliotts a genius i earned Â£60k the other day,,,,,1,1
363,Jayon Brown,welcome welcome not a scam,,,,,1,1
364,Izzy True,General Election. NOW!,,,,,1,1
365,Tyrants,Vaccinated!!!,,,,,1,1
366,Ireneusz Rogala,Wish we could see how many thumbs down been clicked â˜ºï¸ he cant believe himself can he? I cant even watch it ðŸ˜‚too silly,1,,,,,0
367,Rick Glanvill,Patronising git.,1,,,,,0
368,explorer47422,The speech sounds like it was written by an overly optimistic AI chat bot,1,,,,,0
369,Zenoux Beauty,Piece of work,,,1,,,1
370,Shaad Dhillon,Lots of waffle and not a single solid plan.  Enough of this corrupt out of touch party!,1,,,,,0
371,Jona Rain,No more Eton pigs wanted,,,,,1,1
372,Jurassic animator15,I wish nothing but the worst for him after he said people have ti learn maths until theyâ€™re 18 and that itâ€™s illegal not to follow that rule. Heâ€™s asking for death and I wish nothing but horrible things for him,1,,,,,0
373,Mohammed Mannan,"Since this party came to power &#39; police stations disappeared no visible police on the street , crimes gone up , helth services in more mess then before,  people working more hours and longer shifts and people are still going porer day by day,  more drug addicts in this country more than ever.",1,,,,,0
374,PERCYVIDEOS,Reform UKs speech was much better from Rice,1,,,,,0
375,@7Home,ACCORDING ACCOUNTS CORPORATE REVENUE PRIVATE IN GOVERNMENT MR RING ROYALS ALERT ðŸš¨ HIMMS,,,,,1,1
376,MyPoint ofView,Is he still blaming the current situation on COVID-19?  The gene spliced bacteria invented in China funded by governments,,,,,1,1
377,niblet112,Funded by NIH ;),,,,,1,1
378,cheryl offord,surely by night and day he will be breaching eu rules,,,1,,,1
379,Jona Rain,This country is fucked,1,,,,,0
380,nana hamilton,Wonderful ðŸ‘,,,1,,,1
381,Jona Rain,Pay cuts for ministers,,,1,,,1
382,Jean Lind,Very well said!,,,1,,,1
383,Kath.,"Wishy washy rishi has no clue what people want obviously or he wouldn&#39;t be stood trying to convince us we are not really poor, that he&#39;s doing a good job or trying to con us into believing he&#39;ll cut inflation when it&#39;ll go down without his input.",1,,,,,0
384,@7Home,BUT VARIETY VARIATIONS VARIUS BUT,,,,,1,1
385,Patrizia Cavaliere,Not my PM! Who voted for him? Exactly!,1,,,,,0
386,MovieMad555,Okay Iâ€™m ready for someone to nuke us now,,,,,1,1
387,niblet112,Yep lol give this planet back to nature I think humans had there chance.,,,,1,,1
388,MovieMad555,@niblet112 had there chance and failed,1,,,,,0
389,Rich H,LIES LIES LIES LIES LIES,1,,,,,0
390,Crime â‰  Politics,Maybe we should consider doing the job ourselves?,1,,,,,0
391,emmanuel minet,Inflation was already predicted to fall by half this year regardless of government intervention or promises. The era of taking people for gullible fools is coming to an end.,1,,,,,0
392,Jona Rain,Stop letting big corporations rule your decisions,1,,,,,0
393,emmanuel minet,Inflation was already predicted to fall by half this year regardless of government intervention or promises. The era of taking people for gullible fools is coming to an end.,1,,,,,0
394,MovieMad555,When will the maths till 18 crap start and when it does will it affect the current year 11s and those who want to leave after year 11 and get an apprenticeship,,,,,1,1
395,Jona Rain,Make offshore tax havens illegal,,,,,1,1
396,SNAFUferret,GE 2024 cannot come soon enough.  So sick of Conservatives.,,,,,1,1
397,TarmacTouring,Until I see it happening then Iâ€™ll put this down to the same lies as the previous PMs .. this man has no interest in helping anyone unless itâ€™s help line his and his friends pockets,1,,,,,0
398,Jona Rain,Just tax millionaires and billionaires substantially,1,,,,,0
399,niblet112,The government is a corporation. They do business with other corporations. All they care is about making money. The jab rollout made 9 new billionaires the Ukraine conflict will make more.,,1,,,,0
400,Bill y,Herds of wild Unicorns .,,1,,,,0
401,nana hamilton,"Inspire and together we can change our country character, strive for excellence, making sure UK is innovative country and more are all powerful word and encouraging. So shall they be, Amen ðŸ™ ðŸ™Œ ðŸ‘",1,,,,,0
402,Keet,Amazing how cheap meaningless talk is. <br>Bunch of buffoons every single one of them. Shocking how bad this country is atm. <br>What about the current heart attack rates above 30 %  in the 24-44 year old group,,,,,1,1
403,Chris M,What a load of drivel. No real answers to the real mess him and his party have gotten this country into. Nauseating. Thanks to the British press for keeping it 100% real and cutting through all the drivel and gaslighting,,,,,1,1
404,Carlo N.,"We already expect that our govt officials/politicians to work NIGHT and Day to give commoners a better life.<br>Ryanâ€™s question was spot on . If PM donâ€™t deliver, we need to send him ðŸ“¦packing.",,,,1,,1
405,Michael Felstead,amen...and tax big companies more...and close non dom tax evasion....and get rid of the unelected house of lords,,,1,,,1
406,@7Home,FAMILIES BABY PLASMA PODS ðŸ˜‚ CABAL JOKERS,,,,1,,1
407,Major,Cringe,,,1,,,1
408,Thoughts & Other Wreckage,He has plans?!,1,,,,,0
409,Friday,The clue in the title is &quot;HIS Plans&quot;<br><br>They honestly believe we&#39;re all that stupid to think he decides on anything.  <br><br>Lets speak out against the groups who own all our banks on the highstreet and all our mainstream and social medias. Controlling our lives and these pathetic privileged puppets.,,,,,1,1
410,Jona Rain,NO CONFIDENCE,1,,,,,0
411,DayOne TasterDay,At whose expense are they going to be  sent to their respective homes these illegal migrants?,1,,,,,0
412,Build Back England,Vote Reform A Change Needs Come Now! Not Just Empty Vessel Of Lies heâ€™s Spewing now &amp; No One Voted The Clown In ðŸ’©,,,,1,,1
413,Alexandru Bot,Please let&#39;s double the minimum wage!,,,,,1,1
414,Steven Howard,this speech is just about the only thing he has delivered in his time in politics. All those promises will never be realised.,1,,,,,0
415,carry your team,encouraging students to continue studying mathematics up to the age of 18 is fine but it was the UK and NHS who messed up the functional matrix hypothesis (loss of function instead of gain of function) in 2019,1,,,,,0
416,Jona Rain,Yes Beth well said,1,,,,,0
417,@7Home,MEN WERE WOMEN BACK GENDERS GOOD ðŸ˜Œ SUNAK,,,,1,,1
418,theascendance,Innovation! Innovation! Innovation! <br>What really need. Is a may <br>ELECTION !!!!!<br>Now thatâ€™s what I call innovation!!!,1,,,,,0
419,Jona Rain,Liar,,,,,1,1
420,nick ross,NEVER TRUST A TORY - A LAB OR A LIB - VOTE REFORM....,1,,,,,0
421,niblet112,Blow it all up and start agsin,,,,,1,1
422,James Birks,"He seems awfully confident to make this big grand speech thinking he&#39;s going to still be at that podium at the dawn of 2025. Instead of talking crap which this is it, just stay off radar until whenever he decides he wants to call his election. Non of what he wants to promise can be achieved before the term of parliament is over. I could understand it more if an election was coming in next few months, but not for a government that is now 3 years old and more than halfway through but still not ending for at least another year. This is STILL the same government elected from 2019 and that&#39;s the fact. Rishi is just waffling and living in his own little world here.",1,,,,,0
423,ABS Jones,Election Please,,,,1,,1
424,MR MEAGGY,"Wear are the feminists Rishi stole this job from Kemi Badenoch she is the most popular Tory and should have been leader and then called an election, Sunak is a waste just like the Toffs at sky news",1,,,,,0
425,Bernard Fox,"His party has been responsible for all these problems that we now have ! When will debt start reducing ? 2030, 2040 ?? Under the Tories it has more than doubled in just ten years ! What opportunities of Brexit ??? Please explain just one ! A speech without any substance. Sunak is a cynical (brought back Suella Braverman) corrupt,  politician who cares only about himself and his rich friends. Abolishing non Dom status will never happen under the Tories, who will continually allow the rich to avoid tax. I can&#39;t believe he has made this vacuous speech as if he is royalty. Total joke. How much did they pay those bozos from central office to stand up and clap ??",1,,,,,0
426,Andrea Anderson,Here we go again blah blah,,,,,1,1
427,Jona Rain,No TRUST for any politician,,,,1,,1
428,Ian Keeley,Why does he keep saying your Pm Not my pm I didn&#39;t vvote for him,1,,,,,0
429,Goingwildagain,Haven&#39;t done any of that since 2010. What&#39;s different. Lost jobs lost communities poor poor poor show.,1,,,,,0
430,Lisa Leanne Mellor,I was thinking ðŸ¤” maybe just maybe he&#39;s not a human?!.... newest A.I he sure sounds like a robot to me and definitely full of artificial intelligence!!,,,,,1,1
431,Peter Finn,Rishis new Utopia,1,,,,,0
432,TARTANATOR,Something needs to change u got that right the government needs to stop this nonsense and lying to everyone dictators are not the way forward I have no job did before covid car taken away from me as I did not have a job I also look after someone that is disabled and have had no help your government has had 12 years and failed right can u sort it out for me please no u will just ignore me,,,1,,,1
433,Ian Keeley,Don&#39;t trust him at all like his words we&#39;ll either do it or wont. Pure genius or what ðŸ¤£,,,,,1,1
434,Jona Rain,Donâ€™t listen to this fascist in disguise,,,1,,,1
435,peanut butter smooth,fraud,1,,,,,0
436,Jona Rain,Maths canâ€™t control us,1,,,,,0
437,Fowler_0514,Absolute ðŸ’©â€¦. Billions in investments yet the hard working NHS are at the brink of collapseâ€¦ and maths is going to save the worldâ€¦ fk me,,1,,,,0
438,Zee H,What a total bell end! Britain is dead.,1,,,,,0
439,Michel Castellanos rojas,I couldnâ€™t go pass the 2 mins ðŸ¤®ðŸ¤®ðŸ¤®ðŸ¤® . <br>Good luck everyone !,,,1,,,1
440,Nicholas Woolley,This guy is a clown he as has much of a backbone as a jellyfish,,,,1,,1
441,Tuco Guts,Jellyfish don&#39;t have bones silly,1,,,,,0
442,Nicholas Woolley,@Tuco Guts wow I bet u eat crayons and have a Cork on the end of your fork!,,,,1,,1
443,BJ,"Nothing new here,same talk just diffrent words,or better say,same words,but diffrent way of saying.",1,,,,,0
444,Peter Harber,I&#39;m 31 with a family born and bread here been renting working six days a week for 7 years  moving back in with my parents because the cost of living talk talk what a lier hope prove us rong while I wake up at five in the morning to start at six,,1,,,,0
445,Chris Viking,"Anyway, give him a chance, time will tell all!",,,1,,,1
446,Jona Rain,Guy Fawkes these pigs,,,,,1,1
447,Carolyn Clitheroe,Just look at our state schools. Indeed,1,,,,,0
448,Raymond Finch,Richie your full of sh-t.,1,,,,,0
449,Jona Rain,The least innovative and creative nonsense Iâ€™ve ever heard,,,,,1,1
450,Jona Rain,Society is crumbling around us,,,,,1,1
451,None,"&quot;There is no &#39;society&#39;, only individual men and women&quot;, according to a former leader of his party.",1,,,,,0
452,Jona Rain,All your money canâ€™t buy morals  or a personality,1,,,,,0
453,Nicholas Borg,Bullshit   the  greatribulation comming god&#39;s kingdom will solve it not the government in Satan&#39;s system it&#39;s never going to happen,,,1,,,1
454,Jona Rain,Nobody is buying this,1,,,,,0
455,alan courtney,how is his nose not getting longer,,1,,,,0
456,Leigh Aston,yeeeeeeeeeee ... rat fanssss,1,,,,,0
457,J Dub,â€œI will work NIGHT and dayâ€¦â€<br>He lost me about 10 seconds in.,,,,1,,1
458,ecriptus wood,Because he mentioned work??,1,,,,,0
459,prithvi raj 2,people want everything in 2 months. lol,,1,,,,0
460,J Dub,@ecriptus wood because he said NIGHT and day. Rubbish. Unless heâ€™s working shifts.,1,,,,,0
